feature,importance
std_consumption,0.0958522362589557
consumption_range,0.08234568417570366
max_consumption,0.0804031071877676
avg_consumption,0.06364931765823315
stability_score,0.061206405193746566
coefficient_variation,0.06093407388223394
peak_to_average,0.06085816056096538
consumption_intensity,0.05833068133464454
median_to_average,0.056620762987175714
median_consumption,0.05047741083779068
max_to_median,0.04978406906105097
missing_percentage,0.04913059511011839
missing_days,0.048703053925633975
missing_ratio,0.04818834691872639
zero_days,0.02897445138536723
zero_ratio,0.02890666408581256
zero_percentage,0.02868999630237064
min_to_average,0.023898417040015864
min_consumption,0.02304656609368709
