node_index,CONS_NO,FLAG,avg_consumption,median_consumption,std_consumption,min_consumption,max_consumption,zero_days,missing_days,zero_ratio,missing_ratio,consumption_range,peak_to_average,coefficient_variation,median_to_average,min_to_average,max_to_median,zero_percentage,missing_percentage,stability_score,consumption_intensity
0,0387DD8A07E07FDA6271170F86AD9151,1,-0.10966398341991841,-0.10013900958969484,-0.02657485223198971,-0.06431441609288324,-0.019555719319670664,2.766070956691379,-0.8760675138306839,2.7660709566913786,-0.8760675138306835,-0.019407985771283207,-0.019841613986542682,0.579664005290873,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,2.7660709566913786,-0.8760675138306837,-1.889066709892451,-0.17700011907416857
1,01D6177B5D4FFE0CABA9EF17DAFC2B84,1,-0.06506504926518167,-0.08910847408324263,-0.010819270813012571,-0.06431441609288324,-0.015983617909656717,-0.33027943005677374,-0.25873290404346266,-0.33027943005677357,-0.2587329040434623,-0.01583585281195561,-0.12866323319247414,0.039539379067061384,-1.6249786314749404,-0.5468749015357403,-0.0035407154250375883,-0.3302794300567737,-0.25873290404346255,-1.017412218297582,-0.0928414226876656
2,4B75AC4F2D8434CFF62DB64D0BB43103,1,-0.01988437465033037,-0.04157899386434124,0.0016934983195181113,-0.06431441609288324,-0.011207223558519344,-0.3912912603375255,0.18413757689084823,-0.39129126033752565,0.18413757689084856,-0.011059416275016047,-0.12964424586067946,-0.0557977754795786,-0.4123966230071038,-0.5468749015357403,-0.019250160089753787,-0.3912912603375257,0.18413757689084828,-0.723685437821342,-0.034111203614598413
3,B32AC8CC6D5D805AC053557AB05F5343,1,-0.07686376134119531,-0.10013900958969484,-0.0073135013677765644,-0.06431441609288324,-0.01647158762282072,2.5182103961758253,-0.8324514816174563,2.518210396175825,-0.8324514816174559,-0.016323826834938337,-0.1107117318104497,0.24428244277466749,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,2.5182103961758253,-0.8324514816174561,-1.4587449214632993,-0.09850749910656441
4,EDFC78B07BA2908B3395C4EB2304665E,1,0.7034620721977425,0.5055586678536075,0.21452830775210563,-0.06431441609288324,0.03224654736109098,-0.3760383027673376,1.3886110818561332,-0.3760383027673374,1.3886110818561337,0.032394738434551644,-0.17132431187835157,-0.1450471521256911,0.08531479474660288,-0.5468749015357403,-0.023364575240546553,-0.37603830276733746,1.3886110818561335,-0.36547330272494916,0.48686844463161655
5,6BCFD78138BC72A9BA1BFB0B79382192,1,-0.017696133317682446,-0.028642659029549124,-0.005773646528786268,-0.06431441609288324,-0.01524554672790726,0.03960479102028395,-0.6714076703686159,0.03960479102028375,-0.6714076703686157,-0.015097775111455273,-0.17150623106852422,-0.13381138268464499,-0.05399400320362737,-0.5468749015357403,-0.023130457875444863,0.03960479102028369,-0.6714076703686159,-0.4162346968862295,0.03197880613643429
6,34C1954AA3703C4F8BD8EAEA7C4B7B83,1,0.006804215501345585,0.01836705773616865,-0.022457943638433352,-0.06431441609288324,-0.018878814257955692,-0.4523030906182773,-0.20840671302820005,-0.45230309061827717,-0.2084067130281999,-0.018731074731045325,-0.21303794458661954,-0.31906139037864933,0.6931189750890934,-0.5468749015357403,-0.026079386706464754,-0.4523030906182772,-0.2084067130282002,0.7549336016206364,0.04633532523200049
7,768309B0EB11FD436CEE5ABFB84F4C0C,1,-0.03949991619779851,-0.026563605216814678,-0.026289338724709538,-0.06431441609288324,-0.018973961555787115,-0.49424872393629415,-0.8458717992215263,-0.4942487239362943,-0.8458717992215262,-0.018826222869231374,-0.2000185470312717,-0.29454577382328245,0.6126575111551316,-0.5468749015357403,-0.025432121309817795,-0.4942487239362944,-0.8458717992215263,0.5458153478261224,-0.00791683781858368
8,D0A186208CE83FBCCF730857C9A75B6F,1,0.08533729775332605,0.08576305216564363,0.0040203368120243855,-0.06431441609288324,-0.008151636051018827,-0.17393661496234727,-0.1379500456068324,-0.1739366149623474,-0.13795004560683213,-0.008003801780126992,-0.1698869159402697,-0.24185237174269592,0.6115605240694824,-0.5468749015357403,-0.024007783225312152,-0.17393661496234744,-0.13795004560683236,0.16399679124050073,0.19033936049126243
9,516954F5FF177CE314656D727FCC66A5,1,0.5249927664470654,0.5957665027283632,0.05649098905074639,-0.06431441609288324,-0.009952638474256453,-0.33027943005677374,1.3449950496429055,-0.33027943005677357,1.3449950496429062,-0.009804820110077168,-0.2191227278519924,-0.29970730406921153,1.1738656357043373,-0.5468749015357403,-0.026481331778191897,-0.3302794300567737,1.344995049642906,0.5879707655671768,0.3569696663321763
10,C7952FEE130E744EC8CAA7490F72D3F4,1,-0.00943386285920224,-0.04492858056263563,0.004890108489306569,-0.06431441609288324,-0.013165898646734755,0.07773718494575381,0.7175952016526318,0.0777371849457539,0.7175952016526322,-0.013018108662531672,-0.15755702587639558,-0.06425637917800824,-0.6793894631561045,-0.5468749015357403,-0.020296232088282337,0.07773718494575382,0.7175952016526318,-0.6937079143725134,-0.05848564779437206
11,E34D1B467A365835A4A8AAD9395D49AA,1,-0.11927720213719419,-0.10013900958969484,-0.031604878842504354,-0.06431441609288324,-0.017644617880370965,2.9834256020665575,-0.6043060823482659,2.983425602066557,-0.6043060823482655,-0.017496867452860602,2.060033646492812,3.1329103652475654,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,2.983425602066557,-0.6043060823482658,-2.730949041371625,-0.20077608681364256
12,9F61C13255D1183B179753742A24BFAD,1,-0.08137732193332402,-0.06953071734665991,-0.025872436746529608,-0.06431441609288324,-0.020008348607925854,0.46287436359299944,-0.8727124344296664,0.46287436359299944,-0.872712434429666,-0.019860619057225398,-0.18632715746952536,-0.12895529764939792,0.19276808557116293,-0.5468749015357403,-0.024365082102366088,0.46287436359299944,-0.8727124344296663,-0.43760959720590603,-0.1082274826215519
13,F1D26619E4BC428924BAF5261F705D18,1,-0.017873429892968622,-0.051050239011242615,0.0060355197827552,-0.06431441609288324,-0.013464933011347794,0.4133022514898886,-0.8559370374245788,0.4133022514898886,-0.8559370374245785,-0.013317145668259249,-0.15391472605221765,-0.022640486534783937,-0.7394731747075571,-0.5468749015357403,-0.019694229165461073,0.4133022514898886,-0.8559370374245787,-0.8345164179234147,0.045007842824460485
14,EB2DCE9143BF42A1C7E5E218BB77B6A6,1,0.05401790886974744,0.01917557866334316,0.0016095671461442442,-0.06431441609288324,-0.015395063910213778,-0.3150264724865858,-0.8156760846123687,-0.3150264724865858,-0.8156760846123685,-0.01524729361431906,-0.1996243573422968,-0.21932175012245672,-0.08501994903008499,-0.5468749015357403,-0.024827761574158898,-0.31502647248658583,-0.8156760846123687,0.023673835320761803,0.214044732791221
15,E89F2AD4B103F2E2045EE0F4E60429BC,1,0.053099659158435175,0.0825867199517438,-0.004555710970448932,-0.06431441609288324,-0.016195660459109598,0.15018873340414654,-0.7485744965920186,0.15018873340414662,-0.7485744965920182,-0.0160478972341988,-0.2040803733304848,-0.25239144023586196,1.0827358376026175,-0.5468749015357403,-0.02585062034710059,0.15018873340414657,-0.7485744965920185,0.23395570580079447,0.20360755723968763
16,441D4A577AAD02F6C003644640C2619C,1,-0.11940832727218934,-0.10013900958969484,-0.03500184796195438,-0.06431441609288324,-0.019486397716964914,2.9986785596367453,-0.8693573550286489,2.998678559636745,-0.8693573550286483,-0.019338663556319084,1.1942151363002098,1.574492349968033,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,2.998678559636745,-0.8693573550286486,-2.4365582317990864,-0.2007322888266779
17,A9601F29D6AE4544F52BD5CB56426E3F,1,0.18807631772151412,0.18804094945321878,0.0035624781783571377,-0.06431441609288324,-0.01189228410290558,-0.43323689365554235,-0.8123210052113512,-0.4332368936555423,-0.8123210052113509,-0.011744482869955586,-0.20481289725273868,-0.30991656564232983,0.7124015354719854,-0.5468749015357403,-0.025711498898085675,-0.43323689365554235,-0.8123210052113511,0.6742330778182608,0.5339890275678933
18,93D2F9BC41BF6CAF05D11345D58C383A,1,-0.012070325673196436,-0.010508689662920895,-0.008176862918591469,-0.06431441609288324,-0.012930748896379955,-0.2845205573462099,1.1134945709726976,-0.28452055734620985,1.1134945709726978,-0.012782956835300441,-0.15342618106356817,-0.17103812232712992,0.36098229618300665,-0.5468749015357403,-0.022846026268685427,-0.28452055734620985,1.1134945709726976,-0.24056206137120129,-0.09238730671755857
19,369006719ADC2204345D5A156D19821D,1,0.016930822524277273,-0.024657805888474767,0.007557940327887114,-0.06431441609288324,-0.01315774316406349,-0.2807073179536629,-0.8626471962266139,-0.28070731795366277,-0.8626471962266137,-0.013009953107830012,-0.17286799807498554,-0.1177325149356926,-0.5125841537097119,-0.5468749015357403,-0.02215383609137594,-0.2807073179536628,-0.8626471962266138,-0.48576182785728533,0.12990188436052766
20,720FAD7A2EA8095703804E9C897F159E,1,-0.12121803902133425,-0.10013900958969484,-0.03877162121562793,-0.06431441609288324,-0.022041782287294528,3.418134892816914,-0.8861327520337364,3.4181348928169135,-0.8861327520337362,-0.02189407069617292,-0.19516433287732748,-0.2558318275339847,0.408105640876701,-0.5468749015357403,-0.025249897269579855,3.4181348928169144,-0.8861327520337364,0.25743302832657483,-0.20512966434685767
21,CFA8145DAF03AEC0B30D415E81F95937,1,-0.120161533863718,-0.10013900958969484,-0.035321375180827314,-0.06431441609288324,-0.020005630113702103,2.4228794113621506,-0.35938528607398784,2.42287941136215,-0.3593852860739874,-0.019857900538991516,1.7168256979495777,2.719577265259632,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,2.4228794113621506,-0.3593852860739876,-2.678602626051818,-0.2029420701558345
22,5C897FDAC2DB3B33B1EC83273F5F08C7,1,-0.11603975549506258,-0.10013900958969484,-0.03226596712287654,-0.06431441609288324,-0.018964446826003973,1.7822551934142568,-0.8861327520337364,1.7822551934142565,-0.8861327520337362,-0.018816708055412766,0.36471092993665966,0.7739984383047278,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,1.7822551934142568,-0.8861327520337364,-2.0520164427326,-0.1924858770573296
23,78AA6CB5B9C2AF38C3C0707C82834FB5,1,0.0014887505211204763,-0.0552083466367115,0.01747557803684206,-0.06431441609288324,-0.009850694940865644,-0.3417191482344147,-0.6613424321655634,-0.34171914823441474,-0.6613424321655631,-0.009702875676306405,-0.13732118494554052,0.001388347016985168,-1.0854502600168965,-0.5468749015357403,-0.015527060631782713,-0.34171914823441485,-0.6613424321655632,-0.9087606986051927,0.07505009229103939
24,BC0A840A5A34E044B9920F557D9A2111,1,0.052161884426419246,0.07958364222223849,-0.006975495237987509,-0.06431441609288324,-0.01706421936359929,-0.07479239075612563,-0.030587504774272193,-0.07479239075612569,-0.030587504774271843,-0.016916463809925713,-0.20897787322918016,-0.2648768732681757,1.0456989415336486,-0.5468749015357403,-0.026036017451376174,-0.07479239075612565,-0.03058750477427211,0.3207297599002127,0.11370786682500417
25,51EAAC77A3247A422C4BF350D645EB88,1,-0.06295859408830107,-0.10013900958969484,-0.008605949418425024,-0.06431441609288324,-0.016372362583653665,2.064434908462734,-0.8794225932317014,2.0644349084627334,-0.879422593231701,-0.016224600919401456,-0.1393885009256687,0.058897044192570976,-2.2494184569491567,-0.5468749015357403,-0.025249897269579855,2.064434908462734,-0.8794225932317014,-1.0686451683890847,-0.06315330299726779
26,D9C351E2175E2A50A7B699080D895D32,1,0.0889783929995196,0.1181616407474221,0.008227032086669854,-0.06431441609288324,-0.015348849508409944,-0.29596027552385085,0.49615996118547634,-0.29596027552385096,0.4961599611854767,-0.01520107880434298,-0.2058005659900376,-0.22594939293231742,1.0519695616623022,-0.5468749015357403,-0.025908192467822975,-0.295960275523851,0.49615996118547634,0.06371018143048321,0.10340784812738635
27,29682C581F0A0D250A15299ED45ABAAB,1,0.2901359592795283,0.2451571778086179,0.03696737694701979,-0.06431441609288324,-0.008990291519047216,-0.3264661906642267,0.23110868850509333,-0.32646619066422694,0.23110868850509372,-0.00884246465528115,-0.20591539151342592,-0.26416877430272645,0.41893244688009007,-0.5468749015357403,-0.025600271426601852,-0.326466190664227,0.23110868850509336,0.3156903200006617,0.4754904767942968
